employee_id,band,circle,department,gender,tenure_months,months_since_promotion,months_since_hike,months_since_manager_changed,compa_ratio,perf_rating_current,hike_vs_band_median,login_freq_30d,training_completions_90d,leave_days_30d,login_freq_slope_30d,performance_rating_delta,peer_attrition_count_90d,manager_attrition_rate_6m,team_size_change_pct,attrition_flag
JIO10000,4.0,Gujarat,HR,M,93.0,20.0,6.0,2.0,1.035,2.97,-0.79,16.03,0.0,2.85,0.197,0.612,0.0,0.003,-0.048,0.0
JIO10001,4.0,Rajasthan,Operations,F,131.0,8.0,6.0,9.0,1.02,3.98,-5.95,15.28,1.0,5.86,-0.451,-0.435,2.0,0.133,-0.094,1.0
JIO10002,4.0,Gujarat,HR,F,40.0,23.0,12.0,34.0,0.845,3.73,-3.27,15.29,0.0,3.42,0.383,0.411,2.0,0.174,0.099,0.0
JIO10003,6.0,Maharashtra,Operations,M,101.0,13.0,6.0,14.0,0.826,2.75,1.73,11.4,2.0,4.0,-0.481,-0.66,1.0,0.232,-0.232,1.0
JIO10004,3.0,Karnataka,IT,M,84.0,27.0,6.0,1.0,0.982,4.08,-0.35,9.63,1.0,3.57,-0.716,-0.141,2.0,0.24,-0.251,1.0
JIO10005,6.0,Tamil Nadu,HR,F,147.0,25.0,5.0,28.0,1.246000000000005,3.64,-4.38,23.61,2.0,0.4,-0.047,0.423,0.0,0.004,0.079,0.0
JIO10006,4.0,Delhi,Operations,M,39.0,22.0,9.0,12.0,0.978,2.85,0.23,11.57,2.0,2.78,-0.426,0.517,0.0,0.174,0.11,0.0
JIO10007,5.0,Maharashtra,Operations,M,169.0,7.0,6.0,22.0,0.884,2.47,-0.02,5.53,4.0,5.25,-0.08,-0.77,2.0,0.648,-0.101,1.0
JIO10008,3.0,UP East,IT,M,24.0,2.0,0.0,34.0,1.043,2.04,0.14,21.43,3.0,2.59,-0.307,0.225,2.0,0.055,0.027,0.0
JIO10009,5.0,West Bengal,HR,M,65.0,13.0,11.0,3.0,0.95,2.92,-2.35,25.0,4.0,0.0,0.32,-0.089,1.0,0.22,0.15,0.0
JIO10010,7.0,Rajasthan,Network,M,106.0,18.0,22.0,2.0,1.096,2.96,1.25,7.63,2.0,4.44,-0.369,0.447,2.0,0.371,-0.124,1.0
JIO10011,4.0,Tamil Nadu,Network,F,10.0,7.0,4.0,9.0,1.042,3.4,-0.22,19.38,3.0,3.89,0.342,0.263,2.0,0.071,-0.063,0.0
JIO10012,4.0,Tamil Nadu,Network,M,90.0,6.0,3.0,26.0,0.918,2.53,-3.28,12.59,2.0,4.05,0.044,-0.115,0.0,0.534,-0.031,1.0
JIO10013,4.0,Tamil Nadu,Finance,M,113.0,21.0,12.0,24.0,1.127,3.41,3.93,15.55,3.0,4.31,-0.329,0.37,1.0,0.098,-0.188,0.0
JIO10014,3.0,Punjab,IT,M,76.0,16.0,5.0,5.0,1.077,3.75,2.68,14.29,2.0,3.09,-0.685,-0.191,2.0,0.487,-0.126,1.0
JIO10015,3.0,Rajasthan,Finance,F,161.0,36.0,3.0,24.0,1.063,3.56,-5.28,16.27,3.0,5.29,0.106,0.442,1.0,0.128,-0.047,0.0
JIO10016,3.0,Tamil Nadu,Finance,F,46.0,24.0,1.0,29.0,1.013,4.58,0.3,23.6,4.0,1.83,0.253,0.531,0.0,0.007,-0.044,0.0
JIO10017,5.0,Delhi,Sales,M,83.0,45.0,0.0,18.0,0.993,3.18,1.11,11.86,1.0,4.42,0.77,0.14,1.0,0.1,0.015,0.0
JIO10018,3.0,Karnataka,HR,M,38.0,14.0,18.0,25.0,1.134,4.53,5.35,18.88,5.0,0.0,0.201,-0.068,0.0,0.119,0.082,0.0
JIO10019,4.0,Mumbai,Sales,M,96.0,18.0,20.0,23.0,0.838,4.84,-2.05,10.37,0.0,2.61,-0.577,-1.099,1.0,0.237,-0.023,1.0
JIO10020,3.0,Delhi,IT,M,127.0,27.0,22.0,2.0,0.966,3.44,2.86,12.68,2.0,4.61,-0.796,-0.209,1.0,0.13,-0.207,1.0
JIO10021,5.0,Rajasthan,IT,F,111.0,18.0,9.0,10.0,0.813,3.09,0.48,12.41,1.0,3.34,-0.11,-0.07,0.0,0.066,-0.075,0.0
JIO10022,3.0,West Bengal,Technology,M,178.0,10.0,7.0,24.0,0.96,3.8,-4.0,14.36,4.0,3.46,0.456,0.104,0.0,0.218,-0.192,0.0
JIO10023,3.0,Gujarat,Sales,F,73.0,23.0,5.0,3.0,0.998,3.77,-1.61,20.74,2.0,2.28,0.223,0.224,0.0,0.205,0.063,0.0
JIO10024,6.0,Karnataka,Network,M,89.0,39.0,7.0,34.0,1.025,3.21,-0.05,19.31,4.0,2.17,0.216,0.299,0.0,0.025,0.112,0.0
JIO10025,3.0,West Bengal,IT,M,33.0,9.0,4.0,15.0,1.0,3.45,-0.07,23.15,1.0,1.83,0.536,0.441,1.0,0.197,-0.112,0.0
JIO10026,6.0,Punjab,Technology,F,140.0,39.0,10.0,17.0,1.07,3.21,-3.03,14.84,6.0,3.21,1.165,0.283,0.0,0.008,-0.052,0.0
JIO10027,4.0,Mumbai,Finance,M,162.0,43.0,18.0,1.0,0.771,3.51,-1.32,7.93,0.0,5.53,-0.569,-0.82,4.0,0.257,0.021,1.0
JIO10028,5.0,Mumbai,HR,M,19.0,16.0,17.0,3.0,1.137,1.82,0.72,14.89,0.0,3.23,-0.159,0.069,0.0,0.053,-0.047,0.0
