employee_id,recency_manager_change,trend_login,trend_performance,trend_training,volatility_leave,volatility_performance,org_peer_attrition,org_manager_attrition,org_team_shrink,comp_compa_ratio,comp_hike_vs_median,comp_months_no_hike,career_tenure_at_band,career_promotion_velocity,overload_overtime_slope,overload_afterhours_login,is_new_joiner,onboard_completion_rate,onboard_manager_1on1s,interact_high_performer_no_promo,interact_underpaid_declining,interact_new_mgr_peer_left,interact_post_appraisal_dissatisfied,interact_overload_underpaid,interact_onboard_abandoned,interact_onboard_idle,band,tenure_months,perf_rating_current,login_freq_30d,training_completions_90d,leave_days_30d,gender_encoded,dept_Finance,dept_IT,dept_Network,dept_Operations,dept_Sales,dept_Technology,circle_Delhi,circle_Karnataka,circle_Maharashtra,circle_Mumbai,circle_Punjab,circle_Rajasthan,circle_Tamil Nadu,circle_UP East,circle_West Bengal,attrition_flag
JIO10000,60.0,0.197,0.612,-1,0.030319148936170215,0.612,6,0.003,0,1.035,-0.79,6.0,20.0,46.5,0.17384995355393143,3.0,0,1.0,0.0,0,0,1,0,0,0,0,4.0,93.0,2.97,16.03,0.0,2.85,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
JIO10001,270.0,-0.451,-0.435,1,0.044393939393939395,0.435,12,0.133,0,1.02,-5.95,6.0,8.0,65.5,0.10160749459008536,2.0,0,1.0,0.0,0,0,0,0,0,0,0,4.0,131.0,3.98,15.28,1.0,5.86,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,1.0
JIO10002,1020.0,0.383,0.411,-1,0.08341463414634147,0.411,6,0.174,0,0.845,-3.27,12.0,23.0,20.0,0.22669098833524234,2.0,0,1.0,0.0,0,0,0,0,0,0,0,4.0,40.0,3.73,15.29,0.0,3.42,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
JIO10003,420.0,-0.481,-0.66,1,0.0392156862745098,0.66,9,0.232,1,0.826,1.73,6.0,13.0,25.25,0.6830604497428089,5.0,0,1.0,0.0,0,1,0,0,1,0,0,6.0,101.0,2.75,11.4,2.0,4.0,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,1.0
JIO10004,30.0,-0.716,-0.141,1,0.041999999999999996,0.141,9,0.24,1,0.982,-0.35,6.0,27.0,84.0,0.0680463188468324,1.0,0,1.0,0.0,1,0,1,0,0,0,0,3.0,84.0,4.08,9.63,1.0,3.57,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,1.0
JIO10005,840.0,-0.047,0.423,1,0.002702702702702703,0.423,8,0.004,0,1.246000000000005,-4.38,5.0,25.0,36.75,-0.08194793493221318,0.0,0,1.0,0.0,0,0,0,0,0,0,0,6.0,147.0,3.64,23.61,2.0,0.4,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0
JIO10006,360.0,-0.426,0.517,1,0.06949999999999999,0.517,8,0.174,0,0.978,0.23,9.0,22.0,19.5,0.552724485427587,0.0,0,1.0,0.0,0,0,0,0,0,0,0,4.0,39.0,2.85,11.57,2.0,2.78,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,0.0
JIO10007,660.0,-0.08,-0.77,1,0.030882352941176472,0.77,9,0.648,1,0.884,-0.02,6.0,7.0,56.333333333333336,0.41860215520351807,2.0,0,1.0,0.0,0,0,0,0,1,0,0,5.0,169.0,2.47,5.53,4.0,5.25,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,1.0
JIO10008,1020.0,-0.307,0.225,1,0.1036,0.225,11,0.055,0,1.043,0.14,0.0,2.0,24.0,-0.16431603507723322,1.0,0,1.0,0.0,0,0,0,0,0,0,0,3.0,24.0,2.04,21.43,3.0,2.59,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0
JIO10009,90.0,0.32,-0.089,1,0.0,0.089,12,0.22,0,0.95,-2.35,11.0,13.0,21.666666666666668,0.18989601525508762,1.0,0,1.0,0.0,0,0,0,0,0,0,0,5.0,65.0,2.92,25.0,4.0,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0
JIO10010,60.0,-0.369,0.447,1,0.04149532710280374,0.447,9,0.371,1,1.096,1.25,22.0,18.0,21.2,-0.012196192484361795,2.0,0,1.0,0.0,0,0,1,0,0,0,0,7.0,106.0,2.96,7.63,2.0,4.44,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1.0
JIO10011,270.0,0.342,0.263,1,0.35363636363636364,0.263,8,0.071,0,1.042,-0.22,4.0,7.0,5.0,-0.1630054137495899,0.0,1,0.866338620947046,4.0,0,0,0,0,0,0,0,4.0,10.0,3.4,19.38,3.0,3.89,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.0
JIO10012,780.0,0.044,-0.115,1,0.04450549450549451,0.115,7,0.534,0,0.918,-3.28,3.0,6.0,45.0,0.23468679504811193,4.0,0,1.0,0.0,0,0,0,0,0,0,0,4.0,90.0,2.53,12.59,2.0,4.05,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1.0
