employee_id,p_attrition,median_survival_months,ev,risk_tier,top_shap_drivers,band,circle,department,gender,tenure_months,compa_ratio,perf_rating_current,months_since_promotion,months_since_hike
JIO11799,1.0,75.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 71.5144}, {""feature"": ""login_freq_30d"", ""shap"": -16.835}, {""feature"": ""career_promotion_velocity"", ""shap"": 7.4639}]",3.0,Karnataka,Sales,M,16.0,0.94,4.63,0.0,21.0
JIO11798,1.0,166.0,400000.0,CRITICAL,"[{""feature"": ""career_promotion_velocity"", ""shap"": 74.582}, {""feature"": ""login_freq_30d"", ""shap"": -16.766}, {""feature"": ""tenure_months"", ""shap"": 14.0637}]",3.0,Punjab,HR,F,160.0,1.052,2.84,15.0,14.0
JIO10001,1.0,140.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 40.2225}, {""feature"": ""login_freq_30d"", ""shap"": -35.1139}, {""feature"": ""career_promotion_velocity"", ""shap"": 30.5358}]",4.0,Rajasthan,Operations,F,131.0,1.02,3.98,8.0,6.0
JIO10002,1.0,123.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 151.9793}, {""feature"": ""login_freq_30d"", ""shap"": -35.1369}, {""feature"": ""career_tenure_at_band"", ""shap"": -11.5929}]",4.0,Gujarat,HR,F,40.0,0.845,3.73,23.0,12.0
JIO10003,1.0,96.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 62.5738}, {""feature"": ""login_freq_30d"", ""shap"": -26.1929}, {""feature"": ""career_promotion_velocity"", ""shap"": 11.7753}]",6.0,Maharashtra,Operations,M,101.0,0.826,2.75,13.0,6.0
JIO10004,0.9999999990111259,108.0,400000.0,CRITICAL,"[{""feature"": ""career_promotion_velocity"", ""shap"": 39.1586}, {""feature"": ""login_freq_30d"", ""shap"": -22.1232}, {""feature"": ""career_tenure_at_band"", ""shap"": -13.6159}]",3.0,Karnataka,IT,M,84.0,0.982,4.08,27.0,6.0
JIO10005,1.0,178.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 125.1577}, {""feature"": ""login_freq_30d"", ""shap"": -54.2665}, {""feature"": ""career_promotion_velocity"", ""shap"": 17.1355}]",6.0,Tamil Nadu,HR,F,147.0,1.246000000000005,3.64,25.0,5.0
JIO11782,1.0,32.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 116.2171}, {""feature"": ""login_freq_30d"", ""shap"": -23.6407}, {""feature"": ""career_tenure_at_band"", ""shap"": -5.0181}]",5.0,Punjab,HR,M,10.0,0.921,4.09,10.0,8.0
JIO11781,1.0,169.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 120.6874}, {""feature"": ""career_promotion_velocity"", ""shap"": 36.362}, {""feature"": ""login_freq_30d"", ""shap"": -36.2405}]",4.0,Gujarat,Network,F,156.0,0.985,5.0,11.0,22.0
JIO11780,1.0,59.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 111.7469}, {""feature"": ""login_freq_30d"", ""shap"": -35.8037}, {""feature"": ""leave_days_30d"", ""shap"": 5.7078}]",6.0,Punjab,Network,F,47.0,0.893,2.79,7.0,1.0
JIO11779,1.0,151.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 138.5685}, {""feature"": ""login_freq_30d"", ""shap"": -35.5737}, {""feature"": ""career_tenure_at_band"", ""shap"": -17.662}]",6.0,Maharashtra,Operations,F,95.0,1.074,4.15,35.0,5.0
JIO11778,1.0,inf,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 71.5144}, {""feature"": ""login_freq_30d"", ""shap"": -43.92}, {""feature"": ""career_promotion_velocity"", ""shap"": 30.0697}]",4.0,Karnataka,HR,M,129.0,1.003,3.22,14.0,0.0
JIO11777,1.0,135.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 120.6874}, {""feature"": ""login_freq_30d"", ""shap"": -34.2862}, {""feature"": ""career_tenure_at_band"", ""shap"": -23.2253}]",7.0,Punjab,Technology,F,98.0,0.988,3.19,46.0,8.0
JIO11776,1.0,inf,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 44.6927}, {""feature"": ""login_freq_30d"", ""shap"": -39.0226}, {""feature"": ""career_promotion_velocity"", ""shap"": 37.0611}]",4.0,West Bengal,HR,F,159.0,0.869,3.73,2.0,0.0
JIO11773,1.0,64.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 125.1577}, {""feature"": ""login_freq_30d"", ""shap"": -26.1239}, {""feature"": ""leave_days_30d"", ""shap"": 7.5949}]",3.0,West Bengal,Network,F,2.0,0.985,4.2,0.0,17.0
JIO11772,1.0,165.0,400000.0,CRITICAL,"[{""feature"": ""career_promotion_velocity"", ""shap"": 82.9718}, {""feature"": ""recency_manager_change"", ""shap"": 67.0441}, {""feature"": ""login_freq_30d"", ""shap"": -20.1919}]",3.0,Karnataka,IT,F,178.0,0.922,2.53,3.0,0.0
JIO11771,1.0,172.0,400000.0,CRITICAL,"[{""feature"": ""career_promotion_velocity"", ""shap"": 63.3957}, {""feature"": ""recency_manager_change"", ""shap"": 53.6333}, {""feature"": ""login_freq_30d"", ""shap"": -43.2532}]",3.0,Punjab,Sales,F,136.0,0.813,3.66,23.0,16.0
JIO11769,1.0,167.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 107.2766}, {""feature"": ""career_promotion_velocity"", ""shap"": 67.1244}, {""feature"": ""login_freq_30d"", ""shap"": -36.7234}]",3.0,Karnataka,Operations,M,144.0,1.044,4.2,3.0,3.0
JIO11767,0.9999999999999984,165.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 67.0441}, {""feature"": ""login_freq_30d"", ""shap"": -45.3455}, {""feature"": ""career_tenure_at_band"", ""shap"": -19.685}]",6.0,Tamil Nadu,IT,M,131.0,0.91,4.03,39.0,16.0
JIO10038,1.0,142.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 67.0441}, {""feature"": ""career_promotion_velocity"", ""shap"": 38.6925}, {""feature"": ""login_freq_30d"", ""shap"": -23.4108}]",4.0,Maharashtra,Finance,F,166.0,0.993,3.29,44.0,18.0
JIO10037,1.0,58.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 143.0388}, {""feature"": ""login_freq_30d"", ""shap"": -22.652}, {""feature"": ""career_promotion_velocity"", ""shap"": 13.5232}]",3.0,Punjab,Finance,F,29.0,1.186,3.6,7.0,4.0
JIO10036,1.0,83.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 120.6874}, {""feature"": ""login_freq_30d"", ""shap"": -36.6084}, {""feature"": ""career_tenure_at_band"", ""shap"": -3.5009}]",6.0,Delhi,Sales,F,11.0,1.066,3.33,7.0,19.0
JIO10033,0.9999999999998415,108.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 58.1036}, {""feature"": ""login_freq_30d"", ""shap"": -49.921}, {""feature"": ""career_promotion_velocity"", ""shap"": 22.8452}]",3.0,Tamil Nadu,Finance,M,49.0,0.812,3.24,15.0,23.0
JIO10032,1.0,inf,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 107.2766}, {""feature"": ""career_promotion_velocity"", ""shap"": 35.4298}, {""feature"": ""login_freq_30d"", ""shap"": -35.2978}]",4.0,Delhi,HR,M,152.0,0.981,3.53,32.0,3.0
JIO10030,1.0,171.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 84.9252}, {""feature"": ""career_promotion_velocity"", ""shap"": 40.0908}, {""feature"": ""login_freq_30d"", ""shap"": -29.0209}]",3.0,Karnataka,Technology,F,86.0,0.927,3.58,29.0,23.0
JIO10029,1.0,165.0,400000.0,CRITICAL,"[{""feature"": ""recency_manager_change"", ""shap"": 111.7469}, {""feature"": ""career_promotion_velocity"", ""shap"": 44.7517}, {""feature"": ""login_freq_30d"", ""shap"": -32.7457}]",3.0,Punjab,Technology,F,96.0,0.972,3.44,45.0,10.0
JIO10027,0.9999999999999813,141.0,400000.0,CRITICAL,"[{""feature"": ""career_promotion_velocity"", ""shap"": 37.7603}, {""feature"": ""career_tenure_at_band"", ""shap"": -21.708}, {""feature"": ""login_freq_30d"", ""shap"": -18.2145}]",4.0,Mumbai,Finance,M,162.0,0.771,3.51,43.0,18.0
